condition,step,interval_first_step,train_loss,waveform_mse,weighted_envelope_mse,envelope_weight_at_interval_last_step,unweighted_envelope_interval_mean,unweighted_envelope_null_reason,component_source
baseline,100,1,0.9977858250248572,0.9977858250248572,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,200,101,0.9385687862097843,0.9385687862097843,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,300,201,0.5893310898076893,0.5893310898076893,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,400,301,0.4204251928964486,0.4204251928964486,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,500,401,0.37899033935859516,0.37899033935859516,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,600,501,0.36273149121518394,0.36273149121518394,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,700,601,0.35335752306379026,0.35335752306379026,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,800,701,0.34707254767389584,0.34707254767389584,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,900,801,0.34172603688930936,0.34172603688930936,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1000,901,0.33801105111424623,0.33801105111424623,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1100,1001,0.33452562250800066,0.33452562250800066,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1200,1101,0.33151585981593457,0.33151585981593457,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1300,1201,0.32878653879860964,0.32878653879860964,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1400,1301,0.32630682071359585,0.32630682071359585,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1500,1401,0.3240591446965469,0.3240591446965469,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1600,1501,0.3220772368132179,0.3220772368132179,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1700,1601,0.3202024950755898,0.3202024950755898,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1800,1701,0.31845899119496,0.31845899119496,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,1900,1801,0.3171301940665157,0.3171301940665157,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2000,1901,0.3156316337491538,0.3156316337491538,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2100,2001,0.3143012363209319,0.3143012363209319,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2200,2101,0.3131006677234777,0.3131006677234777,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2300,2201,0.3118884802210419,0.3118884802210419,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2400,2301,0.3104916055147529,0.3104916055147529,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2500,2401,0.3094578553393214,0.3094578553393214,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2600,2501,0.30822791191692267,0.30822791191692267,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2700,2601,0.30729790541887325,0.30729790541887325,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2800,2701,0.30623961438096614,0.30623961438096614,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,2900,2801,0.3051867891958733,0.3051867891958733,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3000,2901,0.3041826460153653,0.3041826460153653,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3100,3001,0.30313316042357774,0.30313316042357774,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3200,3101,0.30226125783463764,0.30226125783463764,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3300,3201,0.3008891777352376,0.3008891777352376,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3400,3301,0.29974006805607806,0.29974006805607806,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3500,3401,0.29868372970824464,0.29868372970824464,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3600,3501,0.2975769097867154,0.2975769097867154,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3700,3601,0.296472413489012,0.296472413489012,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3800,3701,0.29547737509418925,0.29547737509418925,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,3900,3801,0.2945930283807792,0.2945930283807792,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4000,3901,0.2937308921002617,0.2937308921002617,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4100,4001,0.29291607330840363,0.29291607330840363,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4200,4101,0.2919412337153955,0.2919412337153955,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
baseline,4300,4201,0.29132685492238475,0.29132685492238475,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
