cohort,scope,amplitude_mode,width,checkpoint_step,query_count,sample_count,factor,output_rms_ratio,relative_l2_to_aF,scaled_training_snr_db,scaled_training_rmse,quality_metric_scope,source,source_sha256
fixed4_global_rms,fixed_training_four_queries_gain_response,train_global_rms,32,1000,4,1536,0.1,0.49016720921152296,4.845063595701033,-13.687565888526619,5.548137948016923,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T063032471309Z_e39df16d563c_scale_equivariance/result.json,152fae863a423b08aedfb08cd256b89d83bc216ff7ccdb64ceea8611baa87f54
fixed4_global_rms,fixed_training_four_queries_gain_response,train_global_rms,32,1000,4,1536,0.3,0.635673603458928,1.7631411305570241,-4.938358136888838,6.0786637146586475,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T063032471309Z_e39df16d563c_scale_equivariance/result.json,152fae863a423b08aedfb08cd256b89d83bc216ff7ccdb64ceea8611baa87f54
fixed4_global_rms,fixed_training_four_queries_gain_response,train_global_rms,32,1000,4,1536,1.0,1.0,0.0,20.090774711031017,1.1356126477571733,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T063032471309Z_e39df16d563c_scale_equivariance/result.json,152fae863a423b08aedfb08cd256b89d83bc216ff7ccdb64ceea8611baa87f54
fixed4_global_rms,fixed_training_four_queries_gain_response,train_global_rms,32,1000,4,1536,3.0,1.1506805623236764,0.6485068855403356,3.689444925013914,22.512201368254463,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T063032471309Z_e39df16d563c_scale_equivariance/result.json,152fae863a423b08aedfb08cd256b89d83bc216ff7ccdb64ceea8611baa87f54
fixed4_global_rms,fixed_training_four_queries_gain_response,train_global_rms,32,1000,4,1536,10.0,1.1697591629327722,0.8946667077001542,0.952594096303641,102.83459725604067,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T063032471309Z_e39df16d563c_scale_equivariance/result.json,152fae863a423b08aedfb08cd256b89d83bc216ff7ccdb64ceea8611baa87f54
fixed4_observed_trace_rms,fixed_training_four_queries_gain_response,observed_trace_rms,32,1000,4,1536,0.1,0.10000001388473054,5.981378021266022e-07,21.10029420465453,0.10110071944753116,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T065545217094Z_e39df16d563c_observed_trace_rms_fixed_training_fit/result.json,c3a7ad4445f6ee715e71919023e37dfbd4e0d08f395f847472ecdbe63d69e480
fixed4_observed_trace_rms,fixed_training_four_queries_gain_response,observed_trace_rms,32,1000,4,1536,0.3,0.30000003407341674,5.802772328267286e-07,21.100294929721144,0.3033021330240284,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T065545217094Z_e39df16d563c_observed_trace_rms_fixed_training_fit/result.json,c3a7ad4445f6ee715e71919023e37dfbd4e0d08f395f847472ecdbe63d69e480
fixed4_observed_trace_rms,fixed_training_four_queries_gain_response,observed_trace_rms,32,1000,4,1536,1.0,1.0,0.0,21.100294681514264,1.0110071389705064,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T065545217094Z_e39df16d563c_observed_trace_rms_fixed_training_fit/result.json,c3a7ad4445f6ee715e71919023e37dfbd4e0d08f395f847472ecdbe63d69e480
fixed4_observed_trace_rms,fixed_training_four_queries_gain_response,observed_trace_rms,32,1000,4,1536,3.0,3.0000004304424834,5.976382724923274e-07,21.10029536392038,3.0330211786224806,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T065545217094Z_e39df16d563c_observed_trace_rms_fixed_training_fit/result.json,c3a7ad4445f6ee715e71919023e37dfbd4e0d08f395f847472ecdbe63d69e480
fixed4_observed_trace_rms,fixed_training_four_queries_gain_response,observed_trace_rms,32,1000,4,1536,10.0,10.000000057232945,5.455705451921105e-07,21.100293284465703,10.1100730158208,scaled_training_four_labels_only,runs/study_032_c3_proposed_gnn_10db/20260909T065545217094Z_e39df16d563c_observed_trace_rms_fixed_training_fit/result.json,c3a7ad4445f6ee715e71919023e37dfbd4e0d08f395f847472ecdbe63d69e480
