offset_bin,sample_start_inclusive,sample_stop_exclusive,energy,energy_fraction_all_train
0–40,0,64,249552350550.10437,0.691715455128544
0–40,64,128,18323329.319758452,5.0789063104184866e-05
0–40,128,192,5781135.903114237,1.6024297280981706e-05
0–40,192,256,4612949.123709427,1.2786287909361271e-05
0–40,256,320,2023845.0475498799,5.609744388661017e-06
0–40,320,384,1369860.0535068654,3.7970124035504376e-06
40–80,0,64,49941466171.17179,0.13842900668428282
40–80,64,128,54974964.769620396,0.0001523809841601099
40–80,128,192,16970232.260112207,4.7038514786835405e-05
40–80,192,256,13502286.480010131,3.742597582113734e-05
40–80,256,320,5607271.722221317,1.5542376190069155e-05
40–80,320,384,3684449.986651477,1.0212650747616525e-05
80–160,0,64,15015081762.615164,0.041619179672420466
80–160,64,128,225121226.23040256,0.0006239966528778253
80–160,128,192,60063565.95540638,0.00016648569636752667
80–160,192,256,44074084.41411292,0.0001221656509853669
80–160,256,320,16980362.262046687,4.70665933798966e-05
80–160,320,384,10890710.525578592,3.0187144185449432e-05
160–320,0,64,9620447888.191856,0.02666619839425226
160–320,64,128,488271913.93699855,0.0013534043194981039
160–320,128,192,160384773.60724175,0.0004445585322152572
160–320,192,256,95455707.40760833,0.0002645865204175426
160–320,256,320,35526826.687296875,9.847414795775478e-05
160–320,320,384,21804406.90848012,6.0438001145892185e-05
320–640,0,64,10125672745.473013,0.028066593306686972
320–640,64,128,1690469758.9450645,0.004685686414542315
320–640,128,192,261873355.84944385,0.0007258671261886917
320–640,192,256,176240005.7206466,0.0004885064616710071
320–640,256,320,69770333.22463241,0.00019339115698394131
320–640,320,384,44913063.27975124,0.00012449115361681467
640–1280,0,64,113988506.5126561,0.00031595619711862475
640–1280,64,128,9825892591.001108,0.02723565516672581
640–1280,128,192,733395094.2174612,0.0020328428895476118
640–1280,192,256,450999712.06751615,0.0012500922968985988
640–1280,256,320,123226829.41313507,0.0003415632119018666
640–1280,320,384,75800189.01623532,0.00021010486228086124
1280–2560,0,64,0.0,0.0
1280–2560,64,128,881595274.7521114,0.002443627861529175
1280–2560,128,192,5681498196.937893,0.015748118991641587
1280–2560,192,256,3514595923.1653295,0.009741845000562807
1280–2560,256,320,593751539.5527308,0.001645775387447334
1280–2560,320,384,145315585.66824898,0.00040278937968809983
≥2560,0,64,0.0,0.0
≥2560,64,128,5.9612886460764985e-55,1.6523649165730943e-66
≥2560,128,192,31359.3426061078,8.692261120962914e-08
≥2560,192,256,644177849.5214615,0.0017855482963122832
≥2560,256,320,180094210.98788553,0.0004991896443567648
≥2560,320,384,25058661.803736664,6.945822636522836e-05
