group,trace_count,sample_start_inclusive,sample_stop_exclusive,time_start_s,time_stop_exclusive_s,energy,energy_fraction_all_train,energy_fraction_within_group
all_train,1146366,0,64,0.0,0.512,334369007624.0688,0.926812389383305,0.9268123893833048
all_train,1146366,64,128,0.512,1.024,13184649058.955055,0.0365455404624375,0.036545540462437485
all_train,1146366,128,192,1.024,1.536,6919997714.073276,0.019181022970639693,0.019181022970639686
all_train,1146366,192,256,1.536,2.048,4943658517.900391,0.013702956490578094,0.013702956490578089
all_train,1146366,256,320,2.048,2.56,1026981218.8974993,0.00284661226260629,0.0028466122626062892
all_train,1146366,320,384,2.56,3.072,328836927.24218935,0.000911478430433513,0.0009114784304335127
top_one_percent,11464,0,64,0.0,0.512,285736347181.79065,0.7920111631965445,0.9997181353711994
top_one_percent,11464,64,128,0.512,1.024,46353139.14544389,0.0001284827919670903,0.00016217773584682426
top_one_percent,11464,128,192,1.024,1.536,14420837.42382081,3.997203833169337e-05,5.045480857449731e-05
top_one_percent,11464,192,256,1.536,2.048,11550753.07607519,3.2016666657245554e-05,4.041312014113594e-05
top_one_percent,11464,256,320,2.048,2.56,4883807.749775655,1.3537060632567e-05,1.7087189730226512e-05
top_one_percent,11464,320,384,2.56,3.072,3353139.525337209,9.294316113493998e-06,1.173177450811624e-05
remaining_train,1134902,0,64,0.0,0.512,48632660442.278114,0.13480122618676044,0.648814187979501
remaining_train,1134902,64,128,0.512,1.024,13138295919.809612,0.03641705767047041,0.1752795903231149
remaining_train,1134902,128,192,1.024,1.536,6905576876.649455,0.019141050932307998,0.09212813391262327
remaining_train,1134902,192,256,1.536,2.048,4932107764.824315,0.013670939823920848,0.06579984449462663
remaining_train,1134902,256,320,2.048,2.56,1022097411.1477237,0.0028330752019737233,0.01363592482539284
remaining_train,1134902,320,384,2.56,3.072,325483787.7168521,0.0009021841143200189,0.004342318464741375
