region,sample_start,sample_stop,time_start_s,exclusive_time_stop_s,trace_count,sample_count,energy,fraction_of_region_energy,rms,zero_trace_count_in_window
fit,0,64,0.0,0.512,32768,2097152,78.16278862237839,8.905842994804505e-08,0.006104991564607314,29685
fit,64,128,0.512,1.024,32768,2097152,450461281.6357661,0.5132541354004311,14.655943416093562,0
fit,128,192,1.024,1.536,32768,2097152,362131599.5221871,0.4126115797100236,13.140692630592644,0
fit,192,256,1.536,2.048,32768,2097152,42694085.29389065,0.048645503459599095,4.511998038964628,0
fit,256,320,2.048,2.56,32768,2097152,15958879.672349948,0.01818349616741208,2.7585842077176053,0
fit,320,384,2.56,3.072,32768,2097152,6411459.387724169,0.007305196204103831,1.748491370975888,0
selection,0,64,0.0,0.512,32768,2097152,70.73956977413346,8.281062008588099e-08,0.005807861518976626,29679
selection,64,128,0.512,1.024,32768,2097152,421858435.2615309,0.49384465758004803,14.183010168300852,0
selection,128,192,1.024,1.536,32768,2097152,336912287.2782534,0.3944032387127478,12.674868742100536,0
selection,192,256,1.536,2.048,32768,2097152,69790458.42526133,0.08169955170390467,5.7687679677028925,0
selection,256,320,2.048,2.56,32768,2097152,18577011.009558123,0.021747005331749503,2.976274372047352,0
selection,320,384,2.56,3.072,32768,2097152,7094801.846520832,0.008305463860930593,1.8393110532232653,0
