gather_column,trace_id,array_row,ffid,observed,held_out,overlay_selected,source_line_index,shot_in_line_index,relative_receiver_x_index,relative_receiver_y_index,source_x_m,source_y_m,receiver_x_m,receiver_y_m,relative_receiver_x_m,relative_receiver_y_m
0,2093066,2093066,4351,True,False,False,45,48,4,18,11060.0,4900.0,11080.0,2940.0,20.0,-1960.0
1,2093067,2093067,4351,True,False,False,45,48,4,19,11060.0,4900.0,11080.0,2980.0,20.0,-1920.0
2,2093068,2093068,4351,False,True,True,45,48,4,20,11060.0,4900.0,11080.0,3020.0,20.0,-1880.0
3,2093069,2093069,4351,False,True,False,45,48,4,21,11060.0,4900.0,11080.0,3060.0,20.0,-1840.0
4,2093070,2093070,4351,False,True,False,45,48,4,22,11060.0,4900.0,11080.0,3100.0,20.0,-1800.0
5,2093071,2093071,4351,False,True,False,45,48,4,23,11060.0,4900.0,11080.0,3140.0,20.0,-1760.0
6,2093072,2093072,4351,False,True,False,45,48,4,24,11060.0,4900.0,11080.0,3180.0,20.0,-1720.0
7,2093073,2093073,4351,False,True,False,45,48,4,25,11060.0,4900.0,11080.0,3220.0,20.0,-1680.0
8,2093074,2093074,4351,False,True,False,45,48,4,26,11060.0,4900.0,11080.0,3260.0,20.0,-1640.0
9,2093075,2093075,4351,True,False,False,45,48,4,27,11060.0,4900.0,11080.0,3300.0,20.0,-1600.0
10,2093076,2093076,4351,False,True,False,45,48,4,28,11060.0,4900.0,11080.0,3340.0,20.0,-1560.0
11,2093077,2093077,4351,False,True,False,45,48,4,29,11060.0,4900.0,11080.0,3380.0,20.0,-1520.0
12,2093078,2093078,4351,False,True,False,45,48,4,30,11060.0,4900.0,11080.0,3420.0,20.0,-1480.0
13,2093079,2093079,4351,False,True,False,45,48,4,31,11060.0,4900.0,11080.0,3460.0,20.0,-1440.0
14,2093080,2093080,4351,True,False,False,45,48,4,32,11060.0,4900.0,11080.0,3500.0,20.0,-1400.0
15,2093081,2093081,4351,False,True,True,45,48,4,33,11060.0,4900.0,11080.0,3540.0,20.0,-1360.0
16,2093082,2093082,4351,False,True,False,45,48,4,34,11060.0,4900.0,11080.0,3580.0,20.0,-1320.0
17,2093083,2093083,4351,False,True,False,45,48,4,35,11060.0,4900.0,11080.0,3620.0,20.0,-1280.0
18,2093084,2093084,4351,True,False,False,45,48,4,36,11060.0,4900.0,11080.0,3660.0,20.0,-1240.0
19,2093085,2093085,4351,False,True,False,45,48,4,37,11060.0,4900.0,11080.0,3700.0,20.0,-1200.0
20,2093086,2093086,4351,False,True,False,45,48,4,38,11060.0,4900.0,11080.0,3740.0,20.0,-1160.0
21,2093087,2093087,4351,False,True,False,45,48,4,39,11060.0,4900.0,11080.0,3780.0,20.0,-1120.0
22,2093088,2093088,4351,True,False,False,45,48,4,40,11060.0,4900.0,11080.0,3820.0,20.0,-1080.0
23,2093089,2093089,4351,False,True,False,45,48,4,41,11060.0,4900.0,11080.0,3860.0,20.0,-1040.0
24,2093090,2093090,4351,False,True,False,45,48,4,42,11060.0,4900.0,11080.0,3900.0,20.0,-1000.0
25,2093091,2093091,4351,False,True,False,45,48,4,43,11060.0,4900.0,11080.0,3940.0,20.0,-960.0
26,2093092,2093092,4351,False,True,False,45,48,4,44,11060.0,4900.0,11080.0,3980.0,20.0,-920.0
27,2093093,2093093,4351,False,True,False,45,48,4,45,11060.0,4900.0,11080.0,4020.0,20.0,-880.0
28,2093094,2093094,4351,True,False,False,45,48,4,46,11060.0,4900.0,11080.0,4060.0,20.0,-840.0
29,2093095,2093095,4351,True,False,False,45,48,4,47,11060.0,4900.0,11080.0,4100.0,20.0,-800.0
30,2093096,2093096,4351,False,True,False,45,48,4,48,11060.0,4900.0,11080.0,4140.0,20.0,-760.0
31,2093097,2093097,4351,False,True,True,45,48,4,49,11060.0,4900.0,11080.0,4180.0,20.0,-720.0
